antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'A09A700000-1'}),frozenset({'A1XG010000'}),0.06042257150219016,0.073917804689513,0.012464570986859057,0.2062899786780384,2.7908022910656802,0.00799826714772203,1.1667764932185853,0.6829454175555407
frozenset({'A1XG010000'}),frozenset({'A09A700000-1'}),0.073917804689513,0.06042257150219016,0.012464570986859057,0.16862745098039217,2.7908022910656802,0.00799826714772203,1.1301520955987807,0.6928975661993612
frozenset({'AMFW010000'}),frozenset({'A09A700000-1'}),0.10007085802628189,0.06042257150219016,0.011498325173924247,0.11490183456710654,1.9016376117481468,0.005451786599545709,1.0615516619427983,0.5268608714019948
frozenset({'A09A700000-1'}),frozenset({'AMFW010000'}),0.06042257150219016,0.10007085802628189,0.011498325173924247,0.19029850746268656,1.9016376117481468,0.005451786599545709,1.1114332260320574,0.5046283973619613
frozenset({'A1XG010000'}),frozenset({'AEY9010003'}),0.073917804689513,0.06696083483638238,0.010177789229580006,0.1376906318082789,2.0562860684865045,0.005228191318297554,1.0820236907784246,0.5546876341357005
frozenset({'AEY9010003'}),frozenset({'A1XG010000'}),0.06696083483638238,0.073917804689513,0.010177789229580006,0.151996151996152,2.0562860684865045,0.005228191318297554,1.092073104963416,0.5505517464981117
frozenset({'A1XG010000'}),frozenset({'AMFT010000'}),0.073917804689513,0.04267585673795413,0.011047410461221334,0.14945533769063182,3.5021051506556504,0.007892904817907602,1.1255424737635222,0.771483852768716
frozenset({'AMFT010000'}),frozenset({'A1XG010000'}),0.04267585673795413,0.073917804689513,0.011047410461221334,0.2588679245283019,3.5021051506556504,0.007892904817907602,1.2495508236114004,0.746306739516835
frozenset({'AMFW010000'}),frozenset({'A1XG010000'}),0.10007085802628189,0.073917804689513,0.012078072661685132,0.12069520437721273,1.6328299370386499,0.004681054522986443,1.0531981628219922,0.4306631831358935
frozenset({'A1XG010000'}),frozenset({'AMFW010000'}),0.073917804689513,0.10007085802628189,0.012078072661685132,0.16339869281045752,1.6328299370386496,0.004681054522986443,1.0756965525154598,0.41850102597989774
frozenset({'AWK8010000'}),frozenset({'A1XG010000'}),0.086768874001546,0.073917804689513,0.01703813450141716,0.196362286562732,2.656495108148019,0.010624369819841922,1.1523627871438578,0.6828108788790065
frozenset({'A1XG010000'}),frozenset({'AWK8010000'}),0.073917804689513,0.086768874001546,0.01703813450141716,0.23050108932461877,2.656495108148019,0.010624369819841922,1.1867867690636762,0.673335640097915
frozenset({'AMFW010000'}),frozenset({'AE9L010000'}),0.10007085802628189,0.04357768616335996,0.01030662200463798,0.10299324106855488,2.3634398733898685,0.005945765559470517,1.0662375777145463,0.6410370289180773
frozenset({'AE9L010000'}),frozenset({'AMFW010000'}),0.04357768616335996,0.10007085802628189,0.01030662200463798,0.23651145602365115,2.363439873389868,0.005945765559470517,1.1787068045406008,0.6031727774036033
